Frame,Timestamp (ms),Active points,Bounding box centre X (px),Bounding box centre Y (px),Bounding box width (px),Bounding box height (px),Bounding box rotation (degrees),Bounding box vertex 1 X (px),Bounding box vertex 1 Y (px),Bounding box vertex 2 X (px),Bounding box vertex 2 Y (px),Bounding box vertex 3 X (px),Bounding box vertex 3 Y (px),Bounding box vertex 4 X (px),Bounding box vertex 4 Y (px)
0,40,218,522,79,186,66,0,429,112,429,46,615,46,615,112
1,80,230,517.769,81.5912,186,66,-0.837697,425.262,115.947,424.297,49.9544,610.277,47.235,611.242,113.228
2,120,231,517.476,82.0957,186,66,-0.729395,424.904,116.277,424.064,50.2823,610.049,47.9145,610.889,113.909
3,160,226,517.681,75.1609,186,66,-0.453936,424.946,108.897,424.423,42.8988,610.417,41.4252,610.94,107.423
4,200,227,517.482,75.0851,186,66,-0.425466,424.729,108.775,424.239,42.7766,610.234,41.3954,610.724,107.394
5,240,230,516.822,69.1301,186,66,-0.283925,423.986,102.591,423.659,36.5914,609.657,35.6697,609.984,101.669
6,280,228,513.946,66.2915,186,66,-0.673361,421.34,100.382,420.565,34.3868,606.552,32.2009,607.327,98.1963
7,320,227,514.465,65.4142,186,66,-0.535623,421.777,99.2822,421.16,33.2851,607.152,31.5463,607.769,97.5434
8,360,227,515.659,65.6042,186,66,-0.283781,422.823,99.0644,422.496,33.0652,608.494,32.144,608.821,98.1432
9,400,227,515.916,65.8033,186,66,-0.304995,423.093,99.2979,422.741,33.2988,608.739,32.3087,609.09,98.3078
10,440,230,516.286,66.5159,186,66,-0.373174,423.503,100.121,423.074,34.1224,609.07,32.9109,609.499,98.9095
11,480,234,520.811,67.2915,186,66,-0.836739,428.302,101.646,427.339,35.6531,613.319,32.9369,614.283,98.9299
12,520,231,520.525,67.0662,186,66,-0.584444,427.867,101.013,427.194,35.0166,613.184,33.1193,613.857,99.1159
13,560,237,514.407,68.0715,186,66,-0.899686,421.937,102.528,420.901,36.5358,606.878,33.6153,607.914,99.6071
14,600,237,514.73,68.163,186,66,-0.8161,422.209,102.484,421.269,36.491,607.25,33.8417,608.19,99.835
15,640,229,506.288,69.074,186,66,-1.07156,413.921,103.807,412.687,37.8189,598.654,34.3405,599.888,100.329
16,680,228,487.105,71.3372,186,66,-1.57182,395.045,106.876,393.234,40.9007,579.164,35.7987,580.975,101.774
17,720,228,473.409,71.9369,186,66,-1.5855,381.357,107.497,379.531,41.5227,565.46,36.3763,567.286,102.351
18,760,225,455.982,72.4412,186,66,-1.4901,363.872,107.848,362.156,41.8707,548.093,37.0339,549.809,103.012
19,800,225,455.83,72.4622,186,66,-1.53832,363.75,107.947,361.978,41.9707,547.911,36.9774,549.683,102.954
20,840,227,448.325,72.7452,186,66,-1.42476,356.174,108.047,354.533,42.0677,540.476,37.443,542.117,103.423
21,880,223,450.15,74.1426,186,66,-1.12738,357.817,108.966,356.518,42.9787,542.482,39.3192,543.781,105.306
